ORGNIZATION NAME (TD/ DTC),DEPOT NAME,BUS NO,BUS ROUTE,REPORT TIME,SPEED,LATEST POI DETAIL IN BUS ROUTE,GPS LOCATION LONGITUDE,GPS LOCATION LATITUDE
DTC,,DL1PC8970,,2021-12-18 20:25:37,15,CPWD Colony Vasant Vihar (U01654),77.164694,28.554792
CLUSTER,,DL1PC6324,,2021-12-18 20:24:26,9,Ishpat Bhawan (U02860),77.23675,28.5924
CLUSTER,,DL1PD0652,,2021-12-18 20:24:14,40,Tilak Bridge (U02887),77.2387,28.6253
CLUSTER,,DL1PD2292,,2021-12-18 20:23:08,22,Panchsheel Club / Sarvpriya Vihar (U02279),77.2052,28.5439
DTC,Mayapuri,DL1PC0165,,2021-12-18 20:19:17,0,Nizamuddin Railway Station (U03066),77.253045,28.586325
DTC,,DL1PC9428,,2021-12-18 20:19:04,11,CRPF Camp (U03822),77.339833,28.611833
CLUSTER,,DL1PD2492,,2021-12-18 20:09:32,29,Parivar Apartment (U03609S),77.30935,28.62675
CLUSTER,,DL1PC6583,,2021-12-18 20:04:28,5,Uttam Nagar Terminal(U00600) (U00600),77.066948,28.625329
DTC,,DL1PC9419,,2021-12-18 20:02:48,7,Bhikaji Cama Place (U02041),77.1893,28.568
CLUSTER,,DL1PD0977,,2021-12-18 20:02:38,36,Arjun Path (U01461),77.147383,28.574933
CLUSTER,,DL1PC6246,,2021-12-18 20:02:29,19,Sunder Nagar (U02924),77.240388,28.605458
CLUSTER,,DL1PC6612,,2021-12-18 20:01:32,0,C 4 Yamuna Vihar (U03306),77.278633,28.702383
DTC,,DL1PC9707,,2021-12-18 19:58:53,18,Rohini Sec 7 and 8 Crossing (U01192),77.125317,28.708133
DTC,,DL1PC9205,,2021-12-18 19:58:39,40,SFS Flats Sec-2 Power House (U00637),77.0714,28.5999
CLUSTER,,DL1PC6495,,2021-12-18 19:57:00,30,Tughlaq Crescent (U99871),77.212,28.5949
CLUSTER,,DL1PD0922,,2021-12-18 19:56:20,14,South Extension (U02556),77.217614,28.568941
CLUSTER,,DL1PC6347,,2021-12-18 19:54:03,36,Air Force Station (U03136),77.257867,28.511733
DTC,,DL1PC9452,,2021-12-18 19:52:19,0,R K Puram Sec-1 (U01848),77.1783,28.5647
CLUSTER,,DL1PD1337,,2021-12-18 19:50:58,50,Suraj Vihar (DC3626),77.03315,28.613433
CLUSTER,,DL1PD2870,,2021-12-18 19:50:50,39,Dholi Piao (U00679),77.076367,28.629
CLUSTER,,DL1PD0546,,2021-12-18 19:50:37,0,DB Gupta Market (U02119),77.194319,28.651854
CLUSTER,,DL1PC5387,,2021-12-18 19:43:26,21,Garhi Village (U03047),77.251417,28.5624
DTC,,DL1PC7741,,2021-12-18 19:42:59,27,Panchkuian Road Banwai Lal Hospital (U02295),77.2042,28.6417
DTC,,DL1PC9573,,2021-12-18 19:42:40,36,Mayur Kunj (DTC1460),77.302352,28.582684
DTC,,DL1PC7737,,2021-12-18 19:41:18,33,Humayun Road / Khan Market (U99919),77.2272,28.603333
DTC,,DL1PC7547,,2021-12-18 19:38:21,39,South Moti Bagh (Ring Road) (U01805),77.174256,28.581923
CLUSTER,,DL1PC6197,,2021-12-18 19:35:08,21,Statesman House (U02645),77.2238,28.6306
DTC,,DL1PC7410,,2021-12-18 19:34:13,16,Princess Park/ Airforce Noval Office Enclave (DC4200),77.066452,28.587688
CLUSTER,,DL1PD0796,,2021-12-18 19:33:11,0,Sunehari Pulla Depot / Jawahar Lal Nehru Stadium Terminal (DC0035),77.2333,28.591283
CLUSTER,,DL1PD2589,,2021-12-18 19:32:53,15,C2B Janak Puri (DC4064),77.088999,28.621298
