name,city,Review
Cake Paradise,Kolkata,Bad
Smart Cafe,Delhi NCR,Bad
Burger King,Delhi NCR,Bad
The Great Bowl Of China,Delhi NCR,Good
Tulsi,Mumbai,Good
Anjana Cafe,Delhi NCR,Good
Delivery Panda,Delhi NCR,Good
Munna Di Vaishno Rasoi,Delhi NCR,Bad
Roll X,Delhi NCR,Bad
Sindhudurg,Mumbai,Bad
Lucky's Bakery and Patisserie,Delhi NCR,Bad
Dosae,Delhi NCR,Good
Pizzeria Cafe,Delhi NCR,Good
Chawla Chick Inn,Delhi NCR,Good
Cake Point,Delhi NCR,Good
Pizza Boys,Mumbai,Bad
Ajooba Biryani Junction,Kolkata,Bad
Snack Shack,Kolkata,Bad
Prem Rasoi,Delhi NCR,Bad
Coastal Reef,Delhi NCR,Good
The Biryani Darbar,Kolkata,Good
Saravana Mess,Delhi NCR,Good
A1 Food Service,Delhi NCR,Good
McDonald's,Delhi NCR,Bad
Rajubhai Dhoklawala,Mumbai,Bad
Duggal's Rasoi,Delhi NCR,Bad
Sugar & Spice,Delhi NCR,Bad
Delish,Delhi NCR,Good
Cherry Bar - The Leela Ambience Convention Hotel,Delhi NCR,Good
Sindhi Meat & Chicken,Delhi NCR,Good
Urban Cuisine,Delhi NCR,Good
Jhama Silver Sweets,Mumbai,Bad
Khana Khazana,Delhi NCR,Bad
Southy,Delhi NCR,Bad
TLC Kitchen,Delhi NCR,Bad
Lucknow,Kolkata,Good
Nimtho,Delhi NCR,Good
The Cone Factory,Mumbai,Good
The Artistic Desserts,Kolkata,Good
Cocoaaahhh,Delhi NCR,Bad
The Ahare Bahare Kitchen,Kolkata,Bad
Chawla Express,Delhi NCR,Bad
Raju Grill,Delhi NCR,Bad
Dear Donna,Delhi NCR,Good
Greasy Spoon Cafe,Delhi NCR,Good
Yo Munching,Delhi NCR,Good
Amritsari Express,Delhi NCR,Good
Chutney D'Lite,Delhi NCR,Bad
Nanuji- By Nanumal Bhojraj,Mumbai,Bad
Yam Food Point,Delhi NCR,Bad
The Burger Week,Delhi NCR,Bad
Shahenshah,Delhi NCR,Good
Orange And Chilli Biryani,Mumbai,Good
Dear Chocolate,Delhi NCR,Good
Wakhra Swag By Mafia Kitchen,Delhi NCR,Good
Ghare Baire,Kolkata,Bad
TIME PASS,Kolkata,Bad
Night Out cafe,Delhi NCR,Bad
Damru Paan Shop,Mumbai,Bad
Gujrati Basa,Kolkata,Good
Punjabi Rasoi,Delhi NCR,Good
Om Bakers,Delhi NCR,Good
Cafe Youth,Delhi NCR,Good
Hotel White Castle,Delhi NCR,Bad
Modi Bakery,Delhi NCR,Bad
Manjeet Chicken Centre,Delhi NCR,Bad
New Airport Restaurant,Mumbai,Bad
Cafe Rendezvous,Delhi NCR,Good
The Burger Homes,Delhi NCR,Good
My Bar Headquarters,Delhi NCR,Good
Karan Momos Corner,Mumbai,Good
Juice Bar,Delhi NCR,Bad
Oye Hotdogs,Delhi NCR,Bad
Tasty Place,Delhi NCR,Bad
Zoe,Delhi NCR,Bad
Heart Bites,Kolkata,Good
Candle Heart Restaurant,Delhi NCR,Good
Teens Cafe Fast Food,Delhi NCR,Good
O Zone Restaurant & Bar,Kolkata,Good
Sesame Street Wok Dis Way,Delhi NCR,Bad
Tingly Vingly,Mumbai,Bad
The Royal Spice,Kolkata,Bad
Park Balluchi,Delhi NCR,Bad
Vaishu's Noodles,Delhi NCR,Good
Jai Mata Di Fast Food Corner,Delhi NCR,Good
Omelettes A Multi Cuisine Restaurant,Delhi NCR,Good
Pahalwan Da Dhaba,Delhi NCR,Good
Shree Bikaner Sweets,Delhi NCR,Bad
Lakeside,Mumbai,Bad
Haldiram's,Delhi NCR,Bad
Noorani Restaurant,Mumbai,Bad
Prince Misthaan cafe,Delhi NCR,Good
A K Foods,Delhi NCR,Good
The Tasty Bakers & Confectioners,Delhi NCR,Good
Classic Snacks,Kolkata,Good
Tobasco Kitchen,Delhi NCR,Bad
Blossom Food Plaza,Kolkata,Bad
The Courtyard Cafe,Delhi NCR,Bad
Green Pepper,Kolkata,Bad
Urban Tandoor,Delhi NCR,Good
Chobdar Express,Delhi NCR,Good
Aanya’s Amritsari Nutri Kulcha,Delhi NCR,Good
Standard Ice Cream,Delhi NCR,Good
Foodiejuana,Delhi NCR,Bad
Creamy Nuts,Mumbai,Bad
Late Lateefe,Delhi NCR,Bad
Ishan Fast Food,Delhi NCR,Bad
Baby Got Bacon,Delhi NCR,Good
Paratha's,Mumbai,Good
New Bismillah Caterers,Mumbai,Good
Duke of Food,Delhi NCR,Good
Kishan Cafe,Kolkata,Bad
AMA Cafe,Delhi NCR,Bad
New Delhi Metro Food Plaza,Delhi NCR,Bad
Peppers & Pipes,Delhi NCR,Bad
Hariram Sweets,Delhi NCR,Good
Ashoka Bar & Restaurant,Kolkata,Good
New Royal Biryani,Kolkata,Good
Woods Cafe,Delhi NCR,Good
Just Coffee & More,Delhi NCR,Bad
