zomato_url,name,city,Review,,,,,,
https://www.zomato.com/kolkata/m-m-fast-food-center-jadavpur,M M Fast Food Center,Kolkata,Bad,,,,,,
https://www.zomato.com/ncr/desi-chulha-badarpur-border-faridabad,Desi Chulha,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/cheers-resto-bar-prashant-vihar-new-delhi,Cheers Resto Bar,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/good-food-xpress-bakery-pitampura-new-delhi,Good Food Xpress & Bakery,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/delicious-treasure-sector-52-noida,Delicious Treasure,Delhi NCR,Good,,,,,,
https://www.zomato.com/kolkata/thali-junction-new-town,Thali Junction,Kolkata,Bad,,,,,,
https://www.zomato.com/ncr/special-muradabadi-chicken-biryani-jasola-new-delhi,Special Muradabadi Chicken Biryani,Delhi NCR,Bad,,,,,,
https://www.zomato.com/ncr/kitchen-lab-1-vasundhara-ghaziabad,Kitchen Lab,Delhi NCR,Bad,,,,,,
https://www.zomato.com/mumbai/ranis-bakery-malad-west,Rani's Bakery,Mumbai,Bad,,,,,,
https://www.zomato.com/ncr/the-kitchen-exotica-jasola-new-delhi,The Kitchen Exotica,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/choco-smith-gourmet-bakery-sheikh-sarai-new-delhi,Choco Smith Gourmet Bakery,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/café-bogchi-sector-15-faridabad,Café Bogchi,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/song-dong-momos-kathi-roll-sector-31-faridabad,Song Dong Momos & Kathi Roll,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/vardaan-food-corner-dlf-phase-3-gurgaon,Vardaan Food Corner,Delhi NCR,Bad,,,,,,
https://www.zomato.com/ncr/chaska-point-shakarpur-new-delhi,Chaska Point,Delhi NCR,Bad,,,,,,
https://www.zomato.com/ncr/chd-chache-di-hatti-vasant-vihar-new-delhi,CHD Chache Di Hatti,Delhi NCR,Bad,,,,,,
https://www.zomato.com/ncr/fabelle-chocolate-boutique-itc-maurya-chanakyapuri-new-delhi,Fabelle Chocolate Boutique - ITC Maurya,Delhi NCR,Bad,,,,,,
https://www.zomato.com/kolkata/the-subtle-baker-dobson-road-howrah,The Subtle Baker,Kolkata,Good,,,,,,
https://www.zomato.com/ncr/frozen-fantasy-safdarjung-new-delhi,Frozen Fantasy,Delhi NCR,Good,,,,,,
https://www.zomato.com/mumbai/thooso-andheri-lokhandwala,Thooso,Mumbai,Good,,,,,,
https://www.zomato.com/mumbai/snickerdoodle-virgin-bar-cafe-ambernath-thane,Snickerdoodle-Virgin Bar & Cafe,Mumbai,Good,,,,,,
https://www.zomato.com/kolkata/rollick-park-street-area,Rollick,Kolkata,Bad,,,,,,
https://www.zomato.com/NaturalsCP,Naturals Ice Cream,Delhi NCR,Bad,,,,,,
https://www.zomato.com/ncr/ghar-jaisa-khana-shahdara-new-delhi,Ghar Jaisa Khana,Delhi NCR,Bad,,,,,,
https://www.zomato.com/kolkata/raja-sweets-kalyani,Raja Sweets,Kolkata,Bad,,,,,,
https://www.zomato.com/ncr/bake-days-janakpuri-new-delhi,Bake-Days,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/kerala-cafe-mayur-vihar-new-delhi,Kerala Cafe,Delhi NCR,Good,,,,,,
